,drate,cpi_pdiff2,bmon_gdp_rdiff2,stock_pdiff2,cons_pdiff2,pdebt_gdp_rdiff2,inv_gdp_rdiff2,tloan_gdp_rdiff2,tdbtserv_gdp_rdiff2,global_loan,global_drate,crisis,crisis_id,year,iso
0,0.13735000000000053,-0.061538222958550604,0.041148927096084364,-37.042633986118176,-0.017003874300473565,-0.01764799999999997,0.021172399999999994,-0.016959599357763283,-0.0012613049098042749,0.028477339693961462,0.510842263245183,0,1307,1872,AUS
1,0.2719580000000006,-0.04687499414062568,-0.004737750998939472,0.3765471590313627,0.16678248783877692,-0.04910700000000001,0.02040710000000001,-0.008764073598600847,-0.0008481443225845202,0.026337316962338746,0.639894398775918,0,1527,1873,AUS
2,0.15331700000000037,0.049180321418974327,-0.025481953765394805,0.08335021576207624,0.11254652945040511,0.03940200000000002,0.011521900000000002,0.0030706371300421587,-6.339716712128358e-05,0.028843173020141555,2.091468813028795,0,2243,1874,AUS
3,-0.09267499999999984,0.08196707121743341,0.017767783316148145,-0.17983188307673992,0.10383164582092519,0.09099500000000002,0.03557780000000001,0.020566037904381468,0.0005231473906044098,0.03795411560356729,1.1610572474141119,0,588,1875,AUS
4,-0.034091999999999345,0.04687499414062568,0.032031919402834896,-0.37949812682377004,0.05746900216492801,-0.035816000000000014,0.025917899999999994,0.028408201314273407,0.0010798372943197233,0.022667913629247916,2.0290673048269254,0,1132,1876,AUS
5,-0.1111500000000003,0.045454545454545414,0.04271497264599772,0.0979319239691212,-0.017625899280575452,-0.05759499999999998,0.049369599999999986,0.056261941070768484,0.002154277466694929,0.02699255104372599,1.881868008147858,0,1821,1877,AUS
6,-0.35719999999999974,0.01492513254625294,0.019693284488465357,-1.6643744308106196,0.07072399032198051,0.014345999999999998,0.013263200000000003,0.05189782751451438,0.0019647590168683036,0.04975237309743945,1.2708599395188775,0,2426,1878,AUS
7,-0.2966500000000005,-0.04347826086956519,-0.01316419514629652,-0.09118815573067651,0.051629439765653595,0.03284199999999998,-0.048424999999999996,-0.014961257783121962,2.2272511331390688e-06,0.03809713186695227,0.9561459147880003,0,1406,1879,AUS
8,-0.2905920000000002,-0.05882330103803546,0.005936220077100596,-2.4471903320810515,-0.03354771423605074,0.04935999999999999,-0.004668599999999995,-0.05583090459634532,-0.0025716239684398894,0.013053104815204062,0.8413575616428571,0,715,1880,AUS
9,-0.9185000000000003,-0.045454545454545414,0.04550424260052621,-0.41439544120174054,0.047876044568245124,0.023267999999999983,0.05083689999999996,0.012008294196358849,-0.0020702863065255057,0.021173335225884594,0.08389524266428568,0,457,1881,AUS
10,-0.6779084000000002,0.0,0.05709978639509444,-0.20950385588118248,0.04604316546762588,0.010337999999999986,0.004054299999999983,0.10415632577003947,0.0023774290311922297,0.03107337402745655,-0.02339909197857131,0,1260,1882,AUS
11,-0.6831830000000005,0.12698399999999999,0.008977092422281785,2.95029729748012,0.02973915932879212,0.008708000000000021,-0.025222499999999953,0.05954737553485323,0.003142962204248919,0.02017070287417289,-0.17790701336904763,0,694,1883,AUS
12,-0.903575,0.12499985937501767,0.008829673608529265,-0.5127580499233277,0.04418844566712532,0.060717999999999994,0.022979500000000014,0.010385370309558661,0.001072596726793655,0.024366868557532784,0.09362385192619047,0,643,1884,AUS
13,-0.7677499999999995,0.014084621305309408,0.035850731178244166,-0.6064979682757524,0.00822846079380457,0.07137899999999997,-0.0009083000000000008,0.03803805430538493,0.001592236361593724,0.03604490180666931,0.47719462039555555,0,1423,1885,AUS
14,-0.6809500000000002,0.0,0.012008843010163583,-0.340909063970008,0.01877161205335076,0.048806000000000016,0.01470769999999999,0.0346412039180215,0.001479934292082201,0.02962572884747131,0.3258704907155556,0,2200,1886,AUS
15,-1.0247166999999995,-0.0277776666666667,0.008470646117338665,1.495575146552254,0.04976796287405971,0.012734000000000023,0.015778899999999985,0.003954043164832333,-0.0017630494278983912,0.023011524444185267,0.06782894307777783,0,2242,1887,AUS
16,-1.2503582999999994,-0.06944433333333333,0.023191527774945486,8.03448224921716,0.012283820914821497,-0.013139999999999985,-0.007302900000000001,0.03665178522325241,-0.001598591866333935,0.012159515847050677,0.23761449710888896,0,2194,1888,AUS
17,-1.0143415999999998,-0.04285713795918422,0.0020186699990684676,-1.0390070912616844,-0.005182926829268131,-0.003825999999999996,-0.015871200000000002,0.04154807660854498,0.0010711666888810496,0.0010463295634337145,-0.14099588675999988,0,2010,1889,AUS
18,-0.7455499999999997,0.0,-0.006656691932620862,-0.9465648862830941,-0.03241258182979412,0.017939999999999956,-0.040983699999999984,0.010868112998787594,0.00132608455351391,-0.00428077182288252,-0.7150567461199999,0,2163,1890,AUS
19,-0.7225082999999994,-0.01492549075516525,0.017145313615729352,8.454545023520128,-0.0537848605577691,0.05218399999999995,0.00932630000000001,0.026870481958490955,0.0013857924364594314,0.0029296635952253893,-0.1964853555555556,1,2,1891,AUS
20,-0.6476249999999997,-0.0298509815103305,0.057490298751926905,3.5000002328306516,-0.14818481848184828,0.09383100000000005,-0.03322159999999999,0.05814784013262353,0.0025837582134588775,0.014279744420958659,0.7028157007622222,1,2,1892,AUS
21,-0.3557667000000002,-0.018181960991714763,-0.06692710683738351,8.117646633444384,0.017274472168905763,-0.02344400000000002,-0.002616300000000016,-0.09617041501328771,-0.0026324240707485055,0.014905487068305929,0.2037577929955556,0,814,1898,AUS
